gene_id,S2-12h,S2-24h,S2-Oh,S3-12h,S3-24h,S3-Oh,W2-12h,W2-24h,W2-Oh,W3-12h,W3-24h,W3-Oh
gene:Zm00001d048649,44,12,542,320,95,303,647,110,304,115,114,560
gene:Zm00001d048642,0,0,0,0,0,0,0,16,10,10,4,7
gene:Zm00001d048643,0,96,186,460,22,276,199,35,1044,214,3029,2441
gene:Zm00001d048640,0,0,0,0,0,19,7,0,0,0,0,0
gene:Zm00001d048646,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d048647,1456,3684,1491,1792,2396,576,905,2051,602,750,2081,488
gene:Zm00001d048644,266,180,172,210,343,128,242,262,22,10,336,5
gene:Zm00001d048645,0,0,0,0,0,4,0,0,0,0,0,0
gene:Zm00001d032597,2221,2614,3697,3553,3153,2607,2216,2337,2083,1788,3458,3573
gene:Zm00001d032595,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d004494,10,4,4,6,8,4,0,0,0,0,0,0
gene:Zm00001d032592,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d032591,3156,3501,5372,5840,5273,5404,3297,3661,3398,2965,6164,5794
gene:Zm00001d032590,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d032599,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d032598,2561,1819,3555,2697,2362,2091,2427,2475,1576,1661,2413,2410
gene:Zm00001d045078,9,29,28,42,19,43,47,13,14,20,29,11
gene:Zm00001d045079,27,14,38,66,45,40,24,29,14,35,57,30
gene:Zm00001d045072,7081,8058,12103,9807,8729,8291,6539,7044,6089,4554,9048,8737
gene:Zm00001d045070,56,249,103,14,29,16,35,107,13,4,54,24
gene:Zm00001d045071,38,247,277,30,71,48,9,37,27,11,65,9
gene:Zm00001d045076,4036,4996,8752,5496,3533,4317,4374,3399,4891,2181,4071,4878
gene:Zm00001d045077,12,17,68,73,13,128,101,14,91,84,84,86
gene:Zm00001d045074,1029,892,1452,1578,906,1385,1347,1019,977,615,1311,1311
gene:Zm00001d045075,2939,2762,4946,3042,3099,2765,2400,2080,2112,1568,2250,3113
gene:Zm00001d007719,2748,2631,4677,4608,3822,4259,2663,2193,2281,1797,3876,3992
gene:Zm00001d007718,168,204,24,556,846,254,615,370,237,1073,1541,422
gene:Zm00001d007715,576,724,874,889,702,828,610,582,529,391,935,806
gene:Zm00001d007714,500,869,512,904,1723,457,634,138,212,344,618,439
gene:Zm00001d007717,0,0,0,0,0,0,239,35,19,31,20,24
gene:Zm00001d007716,1340,57,530,785,183,320,2280,608,678,1514,412,918
gene:Zm00001d007710,0,0,43,0,17,10,0,0,0,0,0,0
gene:Zm00001d007713,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d007712,0,0,5,9,0,8,0,4,13,8,10,16
gene:Zm00001d005717,59,13,6,4,0,0,39,37,13,22,39,23
gene:Zm00001d005716,409,504,802,522,426,514,539,551,473,339,838,659
gene:Zm00001d005715,9,0,7,0,0,0,0,0,0,0,0,0
gene:Zm00001d032330,16,0,64,0,0,0,0,0,0,0,0,0
gene:Zm00001d005713,7403,8438,12516,6890,8273,7939,6268,9172,5983,4447,8302,8048
gene:Zm00001d032336,591,390,1540,1319,912,1212,738,415,872,654,1114,1188
gene:Zm00001d005711,800,928,1708,1238,987,1113,895,952,851,624,972,1142
gene:Zm00001d032334,668,319,1054,1297,792,1140,892,533,762,499,950,974
gene:Zm00001d032339,0,0,7,14,5,5,4,3,0,0,14,0
gene:Zm00001d032338,737,887,1826,1349,1205,1590,923,858,1131,802,1244,1476
gene:Zm00001d005719,47,57,10,14,32,22,21,7,9,9,18,0
gene:Zm00001d008729,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d008728,18,12,74,26,5,29,16,31,14,8,0,7
gene:Zm00001d008725,1572,1892,2952,2104,1678,2118,2005,2124,2567,1459,2758,3254
gene:Zm00001d008724,824,724,2051,1717,759,1443,803,390,1121,651,1484,1315
gene:Zm00001d008727,8921,9186,14278,7924,6201,8961,6228,7799,8372,5622,11241,11047
gene:Zm00001d008726,1079,1410,2482,1007,914,871,1280,1699,1466,888,995,1296
gene:Zm00001d008721,1325,819,1257,1195,708,664,1395,751,579,691,836,776
gene:Zm00001d008720,512,687,905,961,664,804,641,712,608,324,742,814
gene:Zm00001d008722,18,8,48,30,24,62,125,52,32,87,90,81
gene:Zm00001d036659,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d036654,1489,1641,3082,2345,2005,2856,2643,3004,2542,1879,2754,3654
gene:Zm00001d036655,365,397,526,335,303,206,373,468,393,254,618,535
gene:Zm00001d036656,380,480,876,666,579,627,115,12,16,19,25,16
gene:Zm00001d036657,404,464,857,435,257,319,591,475,443,359,784,661
gene:Zm00001d036650,1137,4062,1874,1377,3003,538,761,2440,733,547,2451,625
gene:Zm00001d036651,439,190,375,1216,1157,817,2670,2088,1797,1290,2380,2088
gene:Zm00001d036652,269,131,476,118,138,275,184,257,132,206,154,349
gene:Zm00001d036653,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d028374,100,378,117,75,429,15,69,186,12,49,330,15
gene:Zm00001d028375,3101,4545,8278,4758,3738,4191,5397,3799,4890,2719,4826,5810
gene:Zm00001d028376,1,1,1,1,1,1,1,1,1,1,1,1
gene:Zm00001d034655,762,873,1004,1066,956,464,720,821,492,623,1078,767
gene:Zm00001d028370,7643,12317,14650,7232,9401,6199,6306,9946,6011,4766,9166,8249
gene:Zm00001d034653,0,0,10,0,0,0,52,23,47,32,48,45
gene:Zm00001d028372,1901,1803,3723,2088,1868,2501,2947,2805,3147,1977,3944,3966
gene:Zm00001d034651,281,216,343,156,201,232,415,402,302,339,352,418
gene:Zm00001d028378,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d028379,27,18,8,10,0,7,0,0,3,0,0,0
gene:Zm00001d034658,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d034659,1656,2410,2889,1940,1526,2041,2378,2174,2296,1051,2762,2849
gene:Zm00001d004243,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d031028,2081,3370,4315,2441,1960,1965,2305,2485,2024,1170,2616,2127
gene:Zm00001d031026,1576,1830,3459,3058,1743,2381,3511,1613,2381,1604,2281,2492
gene:Zm00001d031027,145,32,63,3,3,6,4,0,0,3,7,0
gene:Zm00001d031024,2698,4072,5003,3704,3556,3325,3018,3299,2543,1786,3452,3602
gene:Zm00001d031022,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d031023,87,172,222,171,211,161,109,127,76,41,157,64
gene:Zm00001d031020,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d005547,651,703,1775,1115,688,1354,950,964,1256,595,1348,1578
gene:Zm00001d051600,13242,13295,17400,17662,9776,12846,10645,7276,6765,6084,12276,11883
gene:Zm00001d051601,0,0,0,0,0,0,0,0,0,0,21,0
gene:Zm00001d020105,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d051603,1,0,0,0,0,1,2,0,1,1,2,2
gene:Zm00001d020103,0,26,70,64,106,107,28,44,86,34,132,82
gene:Zm00001d051605,496,518,964,633,425,517,503,599,478,316,779,712
gene:Zm00001d051606,67,82,156,229,35,150,209,76,197,117,453,232
gene:Zm00001d020100,16,98,43,18,75,21,34,19,60,12,73,53
gene:Zm00001d051608,1812,2162,3492,2762,2709,2603,2125,2911,3058,1666,3184,3262
gene:Zm00001d051609,4055,3272,7864,6029,5395,4775,5174,8093,4522,3734,5359,6740
gene:Zm00001d020109,170,141,469,211,208,264,356,250,331,142,355,422
gene:Zm00001d020108,3746,3744,8890,3202,3538,4634,3386,3219,3226,2699,3634,5466
gene:Zm00001d035303,696,500,617,680,421,608,632,494,439,361,721,578
gene:Zm00001d035302,0,0,0,0,0,3,0,0,0,0,0,0
gene:Zm00001d035301,0,0,0,0,0,0,20,0,0,0,0,0
